zip_code,median_age,per_capita_income,median_age_transportation,time_work,means_transportation
60007,43.9,36369,41.5,17052,20
60018,41.9,25377,42.3,14879,59
60068,45.7,51808,53.3,16753,15
60106,38.3,26080,48.3,10298,37
60131,40.1,26109,32.8,9237,41
60176,41.4,25714,58.1,5949,0
60601,34.6,95152,43.3,7919,159
60602,31.5,77279,NaN,781,0
60603,29.3,106207,NaN,657,0
60604,40.9,130966,63.2,397,11
60605,33.7,81144,41.2,15539,557
60606,32.8,132803,44.6,2011,81
60607,31.5,54282,30.6,16571,247
60608,35.4,19903,30.4,31535,148
60609,37.2,16491,35.5,22871,35
60610,31.7,80153,34.6,23419,1414
60611,34.5,102349,38.5,17757,943
60612,34.3,24224,33.1,13470,174
60613,32.4,60468,32.8,32538,128
60614,30.5,73991,34.8,42627,617
60615,34.4,35387,34.3,17570,88
60616,36.4,31122,37.2,25184,421
60617,40.8,19002,39.9,29181,5
60618,36.6,37612,38,48823,150
60619,40.8,20675,46.9,22023,74
60620,40.6,18786,45.2,23414,8
60621,35.7,12936,41.9,7205,9
60622,32.6,54639,32.2,33112,276
60623,38.1,12964,36.1,31031,9
60624,38.2,12880,39.4,10026,13
60625,36.3,32916,37.9,42390,177
60626,35.2,26849,32.6,25569,154
60628,40.5,19510,45.5,22152,47
60629,37.3,16165,31,43667,19
60630,41.1,32067,38.8,28108,0
60631,42.4,43669,53.9,14493,22
60632,37.4,15928,38.3,37511,8
60633,41,24317,NaN,5563,14
60634,40.7,28216,41,36589,85
60636,39.5,14902,40.9,9364,15
60637,36.6,23067,34,15223,122
60638,40.4,28155,44.3,26359,10
60639,37.7,16622,37.1,39252,29
60640,35.7,39257,35,36744,266
60641,39.1,27379,42.3,35095,46
60642,31.9,55727,33.6,12631,173
60643,44.3,31039,34,19569,23
60644,38.3,14722,33.9,15210,0
60645,39.9,26150,41,19491,254
60646,44.3,46488,50.1,12178,0
60647,33.6,38700,30.7,47942,261
60649,39.7,21633,39.4,15811,29
60651,37.7,16898,37.3,22703,81
60652,41,24302,35.4,18412,8
60653,38.5,24282,34.6,10778,109
60654,32.5,98567,31.4,12472,661
60655,41.9,38002,53.2,14077,0
60656,41.1,34646,36.7,13194,70
60657,31.3,69983,33.7,46091,410
60659,38.4,22921,38,18580,86
60660,36.6,34042,34.7,22582,282
60661,32.6,80692,35.5,6688,128
60706,43,29545,45.4,10374,40
60707,40.9,27670,36.2,20056,91
60714,41.8,29595,48.1,12741,56
60804,36.1,16055,38.5,35859,93
60827,40.9,18231,41.6,9738,0
