,lat,long
0,41.66,-87.6
1,41.66,-87.54
2,41.67,-87.64
3,41.69,-87.71
4,41.69,-87.67
5,41.69,-87.57
6,41.71,-87.68
7,41.71,-87.62
8,41.71,-87.6
9,41.71,-87.53
10,41.72,-87.65
11,41.73,-87.6
12,41.73,-87.57
13,41.74,-87.66
14,41.74,-87.62
15,41.74,-87.59
16,41.74,-87.55
17,41.75,-87.71
18,41.75,-87.62
19,41.76,-87.62
20,41.76,-87.57
21,41.77,-87.73
22,41.77,-87.7
23,41.77,-87.66
24,41.78,-87.77
25,41.78,-87.67
26,41.78,-87.64
27,41.78,-87.59
28,41.79,-87.77
29,41.79,-87.75
30,41.79,-87.72
31,41.79,-87.62
32,41.79,-87.6
33,41.79,-87.59
34,41.79,-87.58
35,41.8,-87.7
36,41.8,-87.59
37,41.81,-87.73
38,41.81,-87.66
39,41.81,-87.63
40,41.81,-87.62
41,41.81,-87.6
42,41.81,-87.59
43,41.82,-87.7
44,41.82,-87.6
45,41.83,-87.68
46,41.83,-87.67
47,41.83,-87.61
48,41.84,-87.71
49,41.84,-87.65
50,41.84,-87.63
51,41.84,-87.62
52,41.85,-87.67
53,41.85,-87.62
54,41.86,-87.72
55,41.86,-87.63
56,41.86,-87.62
57,41.87,-87.68
58,41.87,-87.66
59,41.87,-87.64
60,41.87,-87.63
61,41.87,-87.62
62,41.88,-87.73
63,41.88,-87.71
64,41.88,-87.67
65,41.88,-87.66
66,41.88,-87.64
67,41.88,-87.63
68,41.88,-87.62
69,41.89,-87.76
70,41.89,-87.7
71,41.89,-87.68
72,41.89,-87.66
73,41.89,-87.65
74,41.89,-87.64
75,41.89,-87.63
76,41.89,-87.62
77,41.89,-87.61
78,41.9,-87.72
79,41.9,-87.68
80,41.9,-87.67
81,41.9,-87.66
82,41.9,-87.65
83,41.9,-87.64
84,41.9,-87.63
85,41.9,-87.62
86,41.91,-87.68
87,41.91,-87.67
88,41.91,-87.65
89,41.91,-87.64
90,41.91,-87.63
91,41.92,-87.73
92,41.92,-87.7
93,41.92,-87.69
94,41.92,-87.68
95,41.92,-87.66
96,41.92,-87.65
97,41.92,-87.64
98,41.92,-87.63
99,41.93,-87.8
100,41.93,-87.77
101,41.93,-87.7
102,41.93,-87.69
103,41.93,-87.66
104,41.93,-87.65
105,41.93,-87.64
106,41.93,-87.63
107,41.94,-87.72
108,41.94,-87.71
109,41.94,-87.67
110,41.94,-87.66
111,41.94,-87.65
112,41.94,-87.64
113,41.95,-87.81
114,41.95,-87.76
115,41.95,-87.72
116,41.95,-87.68
117,41.95,-87.67
118,41.95,-87.66
119,41.95,-87.65
120,41.95,-87.64
121,41.96,-87.73
122,41.96,-87.68
123,41.96,-87.67
124,41.96,-87.66
125,41.96,-87.65
126,41.97,-87.76
127,41.97,-87.72
128,41.97,-87.69
129,41.97,-87.67
130,41.97,-87.66
131,41.97,-87.65
132,41.98,-87.91
133,41.98,-87.9
134,41.98,-87.77
135,41.98,-87.72
136,41.98,-87.69
137,41.98,-87.67
138,41.98,-87.66
139,41.98,-87.65
140,41.99,-87.8
141,41.99,-87.76
142,41.99,-87.67
143,41.99,-87.66
144,41.99,-87.65
145,42.0,-87.7
146,42.0,-87.67
147,42.01,-87.81
148,42.01,-87.67
149,42.02,-87.67
